title,city,salary_from,salary_to,salary_mid,experience_years,url
Аналитик данных,Казань,79809,100122,89965.5,0.5,https://hh.ru/vacancy/1000301
Product manager (junior),Удалённо,156748,242633,199690.5,1.0,https://hh.ru/job/1000302
Data Engineer (junior),Казань,45287,123002,84144.5,0.0,https://hh.ru/job/1000303
Бизнес-аналитик,Новосибирск,74387,89713,82050.0,3.0,https://hh.ru/job/1000304
Data Scientist (junior),Казань,48512,55072,51792.0,1.0,https://hh.ru/job/1000305
Маркетинг-аналитик,Удалённо,41342,125490,83416.0,3.0,https://hh.ru/vacancy/1000306
Продуктовый аналитик,Екатеринбург,103076,191262,147169.0,5.0,https://hh.ru/vacancy/1000307
Data Engineer (junior),Санкт-Петербург,148872,180617,164744.5,0.5,https://hh.ru/job/1000308
Data Engineer (junior),Удалённо,59216,96106,77661.0,3.0,https://hh.ru/job/1000309
Отчётный аналитик,Москва,157512,182534,170023.0,0.0,https://hh.ru/vacancy/1000310
Product manager (junior),Новосибирск,156682,214261,185471.5,3.0,https://hh.ru/job/1000311
Аналитик данных,Екатеринбург,133070,208386,170728.0,2.0,https://hh.ru/job/1000312
Системный аналитик,Москва,119767,208614,164190.5,3.0,https://hh.ru/job/1000313
Junior аналитик,Москва,137829,171209,154519.0,0.0,https://hh.ru/vacancy/1000314
Отчётный аналитик,Новосибирск,66614,73970,70292.0,0.5,https://hh.ru/vacancy/1000315
Data Engineer (junior),Екатеринбург,76258,151584,113921.0,1.0,https://hh.ru/job/1000316
Интернет-маркетолог,Москва,133789,158838,146313.5,1.0,https://hh.ru/vacancy/1000317
BI-аналитик,Москва,82078,162795,122436.5,0.5,https://hh.ru/job/1000318
Маркетинг-аналитик,Екатеринбург,146288,167370,156829.0,1.0,https://hh.ru/job/1000319
Junior аналитик,Казань,123524,129185,126354.5,0.0,https://hh.ru/vacancy/1000320
Отчётный аналитик,Москва,136573,178985,157779.0,1.0,https://hh.ru/job/1000321
Маркетинг-аналитик,Санкт-Петербург,52219,60139,56179.0,3.0,https://hh.ru/job/1000322
BI-аналитик,Екатеринбург,40235,105550,72892.5,1.0,https://hh.ru/vacancy/1000323
SQL-аналитик,Москва,82929,167490,125209.5,0.0,https://hh.ru/job/1000324
BI-аналитик,Новосибирск,107444,121390,114417.0,1.0,https://hh.ru/job/1000325
Product manager (junior),Удалённо,48567,99067,73817.0,0.0,https://hh.ru/job/1000326
BI-аналитик,Санкт-Петербург,141834,163143,152488.5,5.0,https://hh.ru/vacancy/1000327
Маркетинг-аналитик,Удалённо,110792,171022,140907.0,0.0,https://hh.ru/job/1000328
Финансовый аналитик,Удалённо,105441,140468,122954.5,2.0,https://hh.ru/vacancy/1000329
Маркетинг-аналитик,Москва,124555,202096,163325.5,5.0,https://hh.ru/job/1000330
Системный аналитик,Санкт-Петербург,113698,178019,145858.5,3.0,https://hh.ru/job/1000331
Аналитик данных,Санкт-Петербург,157248,163204,160226.0,2.0,https://hh.ru/job/1000332
Бизнес-аналитик,Казань,45415,124546,84980.5,3.0,https://hh.ru/job/1000333
Финансовый аналитик,Удалённо,76159,129067,102613.0,5.0,https://hh.ru/vacancy/1000334
Продуктовый аналитик,Санкт-Петербург,83925,167264,125594.5,2.0,https://hh.ru/vacancy/1000335
Бизнес-аналитик,Казань,45951,76914,61432.5,2.0,https://hh.ru/job/1000336
Аналитик данных,Екатеринбург,127388,171831,149609.5,2.0,https://hh.ru/job/1000337
Отчётный аналитик,Казань,48007,92070,70038.5,1.0,https://hh.ru/job/1000338
Junior аналитик,Новосибирск,81832,167650,124741.0,2.0,https://hh.ru/job/1000339
Системный аналитик,Москва,98596,108299,103447.5,1.0,https://hh.ru/job/1000340
Системный аналитик,Екатеринбург,70523,140651,105587.0,0.5,https://hh.ru/job/1000341
Продуктовый аналитик,Екатеринбург,128861,205960,167410.5,0.0,https://hh.ru/job/1000342
Финансовый аналитик,Новосибирск,126740,157589,142164.5,0.0,https://hh.ru/job/1000343
Product manager (junior),Казань,55524,92384,73954.0,0.5,https://hh.ru/vacancy/1000344
Специалист по рекламе,Москва,59282,95867,77574.5,0.0,https://hh.ru/vacancy/1000345
SQL-аналитик,Казань,63930,90945,77437.5,2.0,https://hh.ru/vacancy/1000346
BI-аналитик,Санкт-Петербург,40077,122616,81346.5,0.5,https://hh.ru/job/1000347
Финансовый аналитик,Казань,145881,194466,170173.5,3.0,https://hh.ru/job/1000348
Junior аналитик,Екатеринбург,60611,92569,76590.0,0.0,https://hh.ru/job/1000349
SQL-аналитик,Москва,56984,88001,72492.5,0.5,https://hh.ru/vacancy/1000350
Системный аналитик,Казань,54060,135767,94913.5,2.0,https://hh.ru/job/1000351
Маркетинг-аналитик,Москва,122985,173335,148160.0,2.0,https://hh.ru/vacancy/1000352
Junior аналитик,Москва,124056,141257,132656.5,0.0,https://hh.ru/job/1000353
Аналитик данных,Санкт-Петербург,83303,117729,100516.0,3.0,https://hh.ru/vacancy/1000354
Продуктовый аналитик,Санкт-Петербург,99207,121985,110596.0,3.0,https://hh.ru/vacancy/1000355
Аналитик данных,Екатеринбург,115046,165287,140166.5,1.0,https://hh.ru/vacancy/1000356
Специалист по рекламе,Новосибирск,69287,116516,92901.5,1.0,https://hh.ru/job/1000357
Junior аналитик,Москва,133709,187073,160391.0,5.0,https://hh.ru/vacancy/1000358
Data Scientist (junior),Новосибирск,79711,169589,124650.0,2.0,https://hh.ru/job/1000359
Data Scientist (junior),Екатеринбург,51954,114010,82982.0,1.0,https://hh.ru/job/1000360
Отчётный аналитик,Москва,113340,145830,129585.0,3.0,https://hh.ru/job/1000361
Финансовый аналитик,Москва,112101,137076,124588.5,0.5,https://hh.ru/job/1000362
Системный аналитик,Удалённо,111520,143243,127381.5,1.0,https://hh.ru/job/1000363
Системный аналитик,Новосибирск,127062,155341,141201.5,0.5,https://hh.ru/vacancy/1000364
BI-аналитик,Казань,142974,226275,184624.5,3.0,https://hh.ru/job/1000365
BI-аналитик,Санкт-Петербург,58574,75135,66854.5,2.0,https://hh.ru/job/1000366
BI-аналитик,Казань,49184,120245,84714.5,2.0,https://hh.ru/job/1000367
Маркетинг-аналитик,Новосибирск,59096,113249,86172.5,0.5,https://hh.ru/job/1000368
Бизнес-аналитик,Санкт-Петербург,107728,145870,126799.0,0.5,https://hh.ru/job/1000369
Data Engineer (junior),Казань,74016,105932,89974.0,1.0,https://hh.ru/vacancy/1000370
Бизнес-аналитик,Удалённо,51246,120570,85908.0,2.0,https://hh.ru/vacancy/1000371
Аналитик данных,Санкт-Петербург,85558,135523,110540.5,1.0,https://hh.ru/job/1000372
Бизнес-аналитик,Москва,158721,168369,163545.0,0.0,https://hh.ru/vacancy/1000373
Маркетинг-аналитик,Казань,58381,98514,78447.5,3.0,https://hh.ru/vacancy/1000374
Отчётный аналитик,Санкт-Петербург,76455,132132,104293.5,0.0,https://hh.ru/job/1000375
Аналитик данных,Удалённо,132263,207398,169830.5,5.0,https://hh.ru/vacancy/1000376
Бизнес-аналитик,Санкт-Петербург,44018,84064,64041.0,0.0,https://hh.ru/job/1000377
Маркетинг-аналитик,Санкт-Петербург,51302,103366,77334.0,2.0,https://hh.ru/vacancy/1000378
Data Engineer (junior),Удалённо,107506,181856,144681.0,0.0,https://hh.ru/vacancy/1000379
Бизнес-аналитик,Казань,81157,132050,106603.5,5.0,https://hh.ru/vacancy/1000380
Маркетинг-аналитик,Екатеринбург,94917,161189,128053.0,1.0,https://hh.ru/job/1000381
Специалист по рекламе,Казань,132738,205387,169062.5,0.0,https://hh.ru/vacancy/1000382
BI-аналитик,Новосибирск,136646,206320,171483.0,1.0,https://hh.ru/vacancy/1000383
Специалист по рекламе,Удалённо,123122,141882,132502.0,0.5,https://hh.ru/job/1000384
Системный аналитик,Казань,64519,91446,77982.5,0.5,https://hh.ru/job/1000385
BI-аналитик,Санкт-Петербург,136809,203176,169992.5,5.0,https://hh.ru/vacancy/1000386
Системный аналитик,Удалённо,127487,145075,136281.0,1.0,https://hh.ru/job/1000387
Интернет-маркетолог,Москва,96819,154052,125435.5,3.0,https://hh.ru/vacancy/1000388
Продуктовый аналитик,Казань,120910,170648,145779.0,2.0,https://hh.ru/vacancy/1000389
Специалист по рекламе,Удалённо,111324,149721,130522.5,2.0,https://hh.ru/job/1000390
Продуктовый аналитик,Казань,45408,132597,89002.5,0.0,https://hh.ru/job/1000391
Продуктовый аналитик,Удалённо,99379,180746,140062.5,0.5,https://hh.ru/job/1000392
Data Engineer (junior),Санкт-Петербург,65053,141313,103183.0,3.0,https://hh.ru/vacancy/1000393
BI-аналитик,Москва,49446,131065,90255.5,5.0,https://hh.ru/job/1000394
Интернет-маркетолог,Москва,40922,65738,53330.0,0.5,https://hh.ru/vacancy/1000395
Системный аналитик,Новосибирск,138723,185963,162343.0,0.5,https://hh.ru/job/1000396
Маркетинг-аналитик,Удалённо,91356,102632,96994.0,1.0,https://hh.ru/vacancy/1000397
Аналитик данных,Казань,50789,135319,93054.0,5.0,https://hh.ru/job/1000398
Маркетинг-аналитик,Москва,137720,166219,151969.5,0.5,https://hh.ru/vacancy/1000399
Аналитик данных,Москва,106656,194151,150403.5,1.0,https://hh.ru/job/1000400
Специалист по рекламе,Екатеринбург,84028,160663,122345.5,3.0,https://hh.ru/vacancy/1000401
Data Scientist (junior),Екатеринбург,104484,145430,124957.0,0.0,https://hh.ru/job/1000402
Маркетинг-аналитик,Москва,72154,132358,102256.0,0.0,https://hh.ru/job/1000403
Бизнес-аналитик,Удалённо,122870,179756,151313.0,2.0,https://hh.ru/vacancy/1000404
Бизнес-аналитик,Новосибирск,42336,118988,80662.0,5.0,https://hh.ru/job/1000405
Финансовый аналитик,Москва,143677,164240,153958.5,0.5,https://hh.ru/vacancy/1000406
BI-аналитик,Санкт-Петербург,107779,122626,115202.5,1.0,https://hh.ru/vacancy/1000407
Аналитик данных,Казань,59029,90184,74606.5,1.0,https://hh.ru/job/1000408
Аналитик данных,Новосибирск,99201,183872,141536.5,1.0,https://hh.ru/vacancy/1000409
Junior аналитик,Санкт-Петербург,72265,160575,116420.0,2.0,https://hh.ru/job/1000410
Отчётный аналитик,Новосибирск,142916,215194,179055.0,1.0,https://hh.ru/job/1000411
BI-аналитик,Санкт-Петербург,152250,175559,163904.5,1.0,https://hh.ru/vacancy/1000412
Data Engineer (junior),Казань,156553,162172,159362.5,1.0,https://hh.ru/job/1000413
Финансовый аналитик,Казань,83872,172066,127969.0,2.0,https://hh.ru/vacancy/1000414
Data Engineer (junior),Екатеринбург,86197,141305,113751.0,1.0,https://hh.ru/vacancy/1000415
Специалист по рекламе,Удалённо,95180,134887,115033.5,3.0,https://hh.ru/job/1000416
Специалист по рекламе,Санкт-Петербург,63710,89047,76378.5,0.0,https://hh.ru/job/1000417
Data Engineer (junior),Екатеринбург,69486,156023,112754.5,3.0,https://hh.ru/vacancy/1000418
Data Engineer (junior),Санкт-Петербург,111907,183411,147659.0,3.0,https://hh.ru/vacancy/1000419
Интернет-маркетолог,Екатеринбург,111895,164509,138202.0,0.5,https://hh.ru/job/1000420
BI-аналитик,Казань,104435,109716,107075.5,1.0,https://hh.ru/job/1000421
Data Engineer (junior),Новосибирск,80631,113051,96841.0,1.0,https://hh.ru/job/1000422
Бизнес-аналитик,Екатеринбург,141532,227428,184480.0,0.5,https://hh.ru/job/1000423
Отчётный аналитик,Санкт-Петербург,60103,104133,82118.0,1.0,https://hh.ru/vacancy/1000424
Отчётный аналитик,Санкт-Петербург,104772,110830,107801.0,0.0,https://hh.ru/job/1000425
Продуктовый аналитик,Удалённо,54382,135642,95012.0,0.5,https://hh.ru/vacancy/1000426
Data Scientist (junior),Казань,124291,157695,140993.0,3.0,https://hh.ru/vacancy/1000427
Специалист по рекламе,Санкт-Петербург,141195,176051,158623.0,0.5,https://hh.ru/job/1000428
Аналитик данных,Москва,43756,57956,50856.0,3.0,https://hh.ru/vacancy/1000429
Junior аналитик,Новосибирск,60609,129787,95198.0,1.0,https://hh.ru/job/1000430
Product manager (junior),Екатеринбург,154074,193071,173572.5,3.0,https://hh.ru/vacancy/1000431
Аналитик данных,Удалённо,56478,87089,71783.5,2.0,https://hh.ru/job/1000432
Data Scientist (junior),Новосибирск,140978,187213,164095.5,0.0,https://hh.ru/vacancy/1000433
Junior аналитик,Казань,79666,119723,99694.5,2.0,https://hh.ru/vacancy/1000434
Интернет-маркетолог,Удалённо,115683,121922,118802.5,0.0,https://hh.ru/job/1000435
BI-аналитик,Екатеринбург,139097,209758,174427.5,1.0,https://hh.ru/job/1000436
Маркетинг-аналитик,Екатеринбург,140420,190692,165556.0,5.0,https://hh.ru/vacancy/1000437
BI-аналитик,Москва,111315,177527,144421.0,0.5,https://hh.ru/vacancy/1000438
Аналитик данных,Казань,117834,138232,128033.0,1.0,https://hh.ru/job/1000439
Аналитик данных,Удалённо,54153,115656,84904.5,2.0,https://hh.ru/vacancy/1000440
Junior аналитик,Удалённо,149415,161053,155234.0,3.0,https://hh.ru/job/1000441
Junior аналитик,Санкт-Петербург,116325,127895,122110.0,2.0,https://hh.ru/vacancy/1000442
Специалист по рекламе,Москва,149701,223486,186593.5,0.5,https://hh.ru/job/1000443
Интернет-маркетолог,Москва,52999,67109,60054.0,2.0,https://hh.ru/vacancy/1000444
Специалист по рекламе,Удалённо,95318,179459,137388.5,0.5,https://hh.ru/job/1000445
Data Scientist (junior),Удалённо,40814,57929,49371.5,2.0,https://hh.ru/job/1000446
Data Engineer (junior),Новосибирск,155033,199095,177064.0,5.0,https://hh.ru/vacancy/1000447
BI-аналитик,Новосибирск,116077,143988,130032.5,2.0,https://hh.ru/job/1000448
Junior аналитик,Новосибирск,130474,168030,149252.0,3.0,https://hh.ru/vacancy/1000449
Системный аналитик,Москва,42443,125574,84008.5,0.0,https://hh.ru/job/1000450
Data Scientist (junior),Санкт-Петербург,115993,122962,119477.5,2.0,https://hh.ru/job/1000451
Бизнес-аналитик,Екатеринбург,115916,164669,140292.5,3.0,https://hh.ru/job/1000452
Интернет-маркетолог,Новосибирск,113319,201130,157224.5,0.0,https://hh.ru/vacancy/1000453
Аналитик данных,Санкт-Петербург,149777,159247,154512.0,3.0,https://hh.ru/job/1000454
Специалист по рекламе,Казань,57368,72593,64980.5,0.5,https://hh.ru/vacancy/1000455
Data Scientist (junior),Новосибирск,55328,83524,69426.0,2.0,https://hh.ru/job/1000456
Product manager (junior),Екатеринбург,96942,115611,106276.5,3.0,https://hh.ru/vacancy/1000457
BI-аналитик,Казань,131751,174131,152941.0,2.0,https://hh.ru/vacancy/1000458
Junior аналитик,Казань,139131,192451,165791.0,0.0,https://hh.ru/vacancy/1000459
Аналитик данных,Екатеринбург,67306,119720,93513.0,2.0,https://hh.ru/job/1000460
Маркетинг-аналитик,Новосибирск,125451,146028,135739.5,1.0,https://hh.ru/vacancy/1000461
Product manager (junior),Москва,79915,140324,110119.5,5.0,https://hh.ru/job/1000462
Интернет-маркетолог,Екатеринбург,77219,110844,94031.5,1.0,https://hh.ru/vacancy/1000463
Data Scientist (junior),Екатеринбург,120879,206919,163899.0,1.0,https://hh.ru/vacancy/1000464
Финансовый аналитик,Екатеринбург,151939,181028,166483.5,2.0,https://hh.ru/vacancy/1000465
Аналитик данных,Казань,104644,146131,125387.5,1.0,https://hh.ru/vacancy/1000466
BI-аналитик,Санкт-Петербург,100279,171117,135698.0,2.0,https://hh.ru/job/1000467
Продуктовый аналитик,Москва,93028,148166,120597.0,2.0,https://hh.ru/vacancy/1000468
Системный аналитик,Новосибирск,144263,192086,168174.5,3.0,https://hh.ru/vacancy/1000469
SQL-аналитик,Новосибирск,40126,82334,61230.0,2.0,https://hh.ru/job/1000470
Product manager (junior),Санкт-Петербург,92329,151390,121859.5,1.0,https://hh.ru/vacancy/1000471
Data Engineer (junior),Екатеринбург,67632,103291,85461.5,0.0,https://hh.ru/vacancy/1000472
SQL-аналитик,Москва,147099,183989,165544.0,0.0,https://hh.ru/vacancy/1000473
BI-аналитик,Новосибирск,105310,189444,147377.0,0.5,https://hh.ru/vacancy/1000474
Бизнес-аналитик,Удалённо,149945,202000,175972.5,0.5,https://hh.ru/job/1000475
Специалист по рекламе,Новосибирск,95176,119684,107430.0,2.0,https://hh.ru/job/1000476
Бизнес-аналитик,Екатеринбург,159797,207084,183440.5,2.0,https://hh.ru/vacancy/1000477
Продуктовый аналитик,Удалённо,126066,209982,168024.0,1.0,https://hh.ru/job/1000478
Product manager (junior),Санкт-Петербург,145500,177484,161492.0,3.0,https://hh.ru/job/1000479
Data Engineer (junior),Москва,84327,97452,90889.5,5.0,https://hh.ru/vacancy/1000480
Финансовый аналитик,Санкт-Петербург,108904,149963,129433.5,3.0,https://hh.ru/job/1000481
Продуктовый аналитик,Санкт-Петербург,43797,118366,81081.5,2.0,https://hh.ru/vacancy/1000482
Product manager (junior),Москва,87882,109969,98925.5,1.0,https://hh.ru/job/1000483
Отчётный аналитик,Москва,53718,64422,59070.0,1.0,https://hh.ru/job/1000484
SQL-аналитик,Новосибирск,74560,140136,107348.0,0.0,https://hh.ru/job/1000485
Продуктовый аналитик,Новосибирск,116589,194973,155781.0,1.0,https://hh.ru/vacancy/1000486
SQL-аналитик,Москва,62116,139576,100846.0,5.0,https://hh.ru/job/1000487
Аналитик данных,Удалённо,76244,108452,92348.0,3.0,https://hh.ru/vacancy/1000488
Бизнес-аналитик,Казань,141721,212745,177233.0,0.5,https://hh.ru/vacancy/1000489
Аналитик данных,Новосибирск,41645,86527,64086.0,1.0,https://hh.ru/job/1000490
Системный аналитик,Казань,87523,118446,102984.5,3.0,https://hh.ru/vacancy/1000491
Отчётный аналитик,Удалённо,157718,191883,174800.5,0.0,https://hh.ru/job/1000492
Data Engineer (junior),Москва,59256,131459,95357.5,1.0,https://hh.ru/vacancy/1000493
Финансовый аналитик,Удалённо,141376,150490,145933.0,3.0,https://hh.ru/vacancy/1000494
Интернет-маркетолог,Новосибирск,140158,210123,175140.5,1.0,https://hh.ru/job/1000495
SQL-аналитик,Санкт-Петербург,93173,134494,113833.5,0.0,https://hh.ru/job/1000496
Финансовый аналитик,Москва,77430,155727,116578.5,1.0,https://hh.ru/job/1000497
SQL-аналитик,Екатеринбург,79282,109708,94495.0,3.0,https://hh.ru/job/1000498
BI-аналитик,Казань,159719,182491,171105.0,2.0,https://hh.ru/vacancy/1000499
Продуктовый аналитик,Удалённо,103374,112086,107730.0,0.5,https://hh.ru/vacancy/1000500
Системный аналитик,Москва,108244,114611,111427.5,1.0,https://hh.ru/vacancy/1000501
Бизнес-аналитик,Удалённо,51694,108618,80156.0,1.0,https://hh.ru/job/1000502
Интернет-маркетолог,Москва,96264,104990,100627.0,2.0,https://hh.ru/vacancy/1000503
Junior аналитик,Новосибирск,115060,147783,131421.5,3.0,https://hh.ru/job/1000504
SQL-аналитик,Новосибирск,137416,151524,144470.0,0.0,https://hh.ru/vacancy/1000505
Финансовый аналитик,Новосибирск,97545,180259,138902.0,3.0,https://hh.ru/job/1000506
Системный аналитик,Удалённо,158195,198838,178516.5,0.0,https://hh.ru/vacancy/1000507
Маркетинг-аналитик,Екатеринбург,79224,115548,97386.0,1.0,https://hh.ru/vacancy/1000508
Интернет-маркетолог,Новосибирск,142516,230876,186696.0,0.0,https://hh.ru/job/1000509
Маркетинг-аналитик,Москва,137945,151872,144908.5,1.0,https://hh.ru/vacancy/1000510
Аналитик данных,Новосибирск,53224,80667,66945.5,1.0,https://hh.ru/job/1000511
Бизнес-аналитик,Санкт-Петербург,80738,165711,123224.5,1.0,https://hh.ru/vacancy/1000512
Специалист по рекламе,Новосибирск,65150,133599,99374.5,0.5,https://hh.ru/vacancy/1000513
Специалист по рекламе,Удалённо,103731,185474,144602.5,2.0,https://hh.ru/job/1000514
Junior аналитик,Екатеринбург,89688,154921,122304.5,0.0,https://hh.ru/job/1000515
BI-аналитик,Санкт-Петербург,139929,170466,155197.5,3.0,https://hh.ru/vacancy/1000516
Финансовый аналитик,Удалённо,148618,231194,189906.0,5.0,https://hh.ru/vacancy/1000517
Product manager (junior),Удалённо,113509,141121,127315.0,1.0,https://hh.ru/vacancy/1000518
Junior аналитик,Удалённо,48577,60048,54312.5,1.0,https://hh.ru/vacancy/1000519
Продуктовый аналитик,Москва,48070,88701,68385.5,1.0,https://hh.ru/vacancy/1000520
Продуктовый аналитик,Удалённо,48666,85014,66840.0,0.0,https://hh.ru/vacancy/1000521
Финансовый аналитик,Москва,97761,167493,132627.0,1.0,https://hh.ru/job/1000522
Product manager (junior),Удалённо,76368,82545,79456.5,3.0,https://hh.ru/job/1000523
Data Engineer (junior),Казань,46783,56543,51663.0,2.0,https://hh.ru/job/1000524
BI-аналитик,Санкт-Петербург,151530,189309,170419.5,0.0,https://hh.ru/vacancy/1000525
Системный аналитик,Казань,81914,108550,95232.0,3.0,https://hh.ru/vacancy/1000526
SQL-аналитик,Удалённо,110507,197396,153951.5,1.0,https://hh.ru/vacancy/1000527
Product manager (junior),Санкт-Петербург,119026,177577,148301.5,3.0,https://hh.ru/job/1000528
Специалист по рекламе,Санкт-Петербург,155893,172449,164171.0,2.0,https://hh.ru/job/1000529
Интернет-маркетолог,Екатеринбург,151255,183853,167554.0,2.0,https://hh.ru/vacancy/1000530
Data Engineer (junior),Казань,150616,167179,158897.5,0.0,https://hh.ru/vacancy/1000531
SQL-аналитик,Екатеринбург,107526,159345,133435.5,0.5,https://hh.ru/job/1000532
SQL-аналитик,Санкт-Петербург,110835,189605,150220.0,5.0,https://hh.ru/job/1000533
Data Engineer (junior),Москва,85765,117731,101748.0,0.5,https://hh.ru/job/1000534
Аналитик данных,Санкт-Петербург,59956,146665,103310.5,5.0,https://hh.ru/vacancy/1000535
Маркетинг-аналитик,Екатеринбург,127895,192784,160339.5,1.0,https://hh.ru/vacancy/1000536
SQL-аналитик,Казань,86240,118227,102233.5,0.0,https://hh.ru/vacancy/1000537
Data Engineer (junior),Удалённо,77148,160862,119005.0,0.0,https://hh.ru/job/1000538
Product manager (junior),Удалённо,134270,197618,165944.0,0.5,https://hh.ru/job/1000539
Data Engineer (junior),Казань,44757,74353,59555.0,5.0,https://hh.ru/vacancy/1000540
Отчётный аналитик,Удалённо,59097,97271,78184.0,1.0,https://hh.ru/vacancy/1000541
Junior аналитик,Удалённо,50395,119501,84948.0,1.0,https://hh.ru/job/1000542
Data Scientist (junior),Екатеринбург,56241,131208,93724.5,1.0,https://hh.ru/vacancy/1000543
Аналитик данных,Казань,143892,208074,175983.0,0.0,https://hh.ru/job/1000544
Бизнес-аналитик,Новосибирск,67696,112006,89851.0,1.0,https://hh.ru/job/1000545
Data Scientist (junior),Москва,155654,216742,186198.0,0.0,https://hh.ru/vacancy/1000546
Junior аналитик,Москва,110480,124386,117433.0,3.0,https://hh.ru/job/1000547
Junior аналитик,Удалённо,86163,128077,107120.0,1.0,https://hh.ru/vacancy/1000548
Junior аналитик,Москва,59816,110195,85005.5,1.0,https://hh.ru/job/1000549
Data Scientist (junior),Казань,89840,173452,131646.0,1.0,https://hh.ru/job/1000550
Финансовый аналитик,Казань,142547,185197,163872.0,1.0,https://hh.ru/vacancy/1000551
Маркетинг-аналитик,Санкт-Петербург,92853,144734,118793.5,5.0,https://hh.ru/job/1000552
Data Engineer (junior),Санкт-Петербург,64917,116330,90623.5,1.0,https://hh.ru/vacancy/1000553
Интернет-маркетолог,Москва,136731,147743,142237.0,0.0,https://hh.ru/vacancy/1000554
Маркетинг-аналитик,Новосибирск,61566,116681,89123.5,2.0,https://hh.ru/job/1000555
Специалист по рекламе,Санкт-Петербург,115452,127603,121527.5,0.5,https://hh.ru/vacancy/1000556
Product manager (junior),Санкт-Петербург,102823,165539,134181.0,0.0,https://hh.ru/vacancy/1000557
BI-аналитик,Казань,60806,102184,81495.0,5.0,https://hh.ru/vacancy/1000558
Финансовый аналитик,Новосибирск,115520,163172,139346.0,3.0,https://hh.ru/vacancy/1000559
Бизнес-аналитик,Удалённо,41759,119189,80474.0,5.0,https://hh.ru/vacancy/1000560
Маркетинг-аналитик,Москва,81949,100416,91182.5,1.0,https://hh.ru/vacancy/1000561
Интернет-маркетолог,Санкт-Петербург,132374,168384,150379.0,1.0,https://hh.ru/job/1000562
Продуктовый аналитик,Новосибирск,42482,102173,72327.5,0.5,https://hh.ru/vacancy/1000563
Junior аналитик,Новосибирск,64442,133599,99020.5,0.5,https://hh.ru/job/1000564
SQL-аналитик,Москва,73719,91008,82363.5,3.0,https://hh.ru/job/1000565
Специалист по рекламе,Новосибирск,98066,148042,123054.0,1.0,https://hh.ru/vacancy/1000566
BI-аналитик,Новосибирск,133501,182097,157799.0,3.0,https://hh.ru/job/1000567
Аналитик данных,Новосибирск,42079,70250,56164.5,2.0,https://hh.ru/job/1000568
Бизнес-аналитик,Санкт-Петербург,42717,91856,67286.5,0.5,https://hh.ru/vacancy/1000569
Product manager (junior),Москва,99676,153389,126532.5,1.0,https://hh.ru/vacancy/1000570
BI-аналитик,Новосибирск,67952,102686,85319.0,2.0,https://hh.ru/vacancy/1000571
Junior аналитик,Новосибирск,126444,204032,165238.0,0.5,https://hh.ru/job/1000572
SQL-аналитик,Санкт-Петербург,82460,151106,116783.0,3.0,https://hh.ru/job/1000573
Финансовый аналитик,Москва,130397,139051,134724.0,1.0,https://hh.ru/vacancy/1000574
SQL-аналитик,Казань,112847,136590,124718.5,0.5,https://hh.ru/vacancy/1000575
Data Scientist (junior),Санкт-Петербург,133607,186975,160291.0,2.0,https://hh.ru/job/1000576
SQL-аналитик,Москва,129106,208278,168692.0,5.0,https://hh.ru/job/1000577
Data Scientist (junior),Новосибирск,58449,69890,64169.5,0.5,https://hh.ru/job/1000578
Специалист по рекламе,Москва,73536,103147,88341.5,3.0,https://hh.ru/job/1000579
Финансовый аналитик,Москва,104077,121226,112651.5,0.5,https://hh.ru/vacancy/1000580
Product manager (junior),Удалённо,78258,142447,110352.5,3.0,https://hh.ru/job/1000581
Системный аналитик,Москва,88302,114977,101639.5,2.0,https://hh.ru/job/1000582
Junior аналитик,Казань,68865,144896,106880.5,1.0,https://hh.ru/job/1000583
Data Scientist (junior),Москва,46645,94313,70479.0,1.0,https://hh.ru/job/1000584
Аналитик данных,Казань,159771,178444,169107.5,3.0,https://hh.ru/vacancy/1000585
SQL-аналитик,Новосибирск,78000,159666,118833.0,1.0,https://hh.ru/vacancy/1000586
SQL-аналитик,Казань,66737,152495,109616.0,2.0,https://hh.ru/job/1000587
Аналитик данных,Новосибирск,51485,121914,86699.5,0.0,https://hh.ru/job/1000588
Product manager (junior),Новосибирск,78565,107234,92899.5,3.0,https://hh.ru/vacancy/1000589
Продуктовый аналитик,Казань,65522,104590,85056.0,2.0,https://hh.ru/vacancy/1000590
Специалист по рекламе,Санкт-Петербург,159614,174049,166831.5,5.0,https://hh.ru/job/1000591
Data Engineer (junior),Екатеринбург,105155,162404,133779.5,0.0,https://hh.ru/job/1000592
Системный аналитик,Москва,95168,137552,116360.0,2.0,https://hh.ru/vacancy/1000593
Бизнес-аналитик,Удалённо,92487,179416,135951.5,2.0,https://hh.ru/vacancy/1000594
Интернет-маркетолог,Екатеринбург,52342,133495,92918.5,1.0,https://hh.ru/vacancy/1000595
Data Scientist (junior),Москва,80806,161194,121000.0,1.0,https://hh.ru/vacancy/1000596
Аналитик данных,Москва,88770,125171,106970.5,0.0,https://hh.ru/vacancy/1000597
Интернет-маркетолог,Новосибирск,118623,195454,157038.5,2.0,https://hh.ru/vacancy/1000598
Финансовый аналитик,Москва,143177,182261,162719.0,1.0,https://hh.ru/job/1000599
Product manager (junior),Удалённо,139785,200611,170198.0,0.0,https://hh.ru/vacancy/1000600
Data Scientist (junior),Москва,115629,157080,136354.5,2.0,https://hh.ru/vacancy/1000601
